,year_state,year,state_id,total_non_renew_gen,total_renew_gen,total_generation,PercentageRenewable,PercentageNonRenewable
275,2012_MD,2012,MD,35244766.07096,2563581.14104,37808347.212,6.780463389910746,93.21953661008926
276,2012_ME,2012,ME,6590801.750326,7829333.651674,14420135.401999999,54.29445309222347,45.70554690777654
277,2012_MI,2012,MI,103932650.87304,4233426.56796,108166077.441,3.913820920675573,96.08617907932442
278,2012_MN,2012,MN,42169320.11129,10024304.10971,52193624.221,19.205993565928196,80.7940064340718
279,2012_MO,2012,MO,89758029.513,2046291.897,91804321.41,2.2289712135240545,97.77102878647594
280,2012_MS,2012,MS,53075105.249,1509189.929,54584295.177999996,2.764879392650422,97.23512060734959
281,2012_MT,2012,MT,15259566.213,12535450.87,27795017.082999997,45.09963362342,54.90036637658001
282,2012_NC,2012,NC,110249906.019,6721320.592,116971226.611,5.746131580164113,94.25386841983588
283,2012_ND,2012,ND,28367876.886,7757282.0,36125158.886,21.473350537999348,78.52664946200065
284,2012_NE,2012,NE,31613476.71,2587338.206,34200814.916,7.565136130103081,92.43486386989692
285,2012_NH,2012,NH,16591490.412,2672944.53,19264434.942,13.87502170734575,86.12497829265425
286,2012_NJ,2012,NJ,64119888.952,1112675.166,65232564.118,1.7057050892362102,98.2942949107638
287,2012_NM,2012,NM,33839239.022,2796670.308,36635909.33,7.633686072341855,92.36631392765815
288,2012_NV,2012,NV,29764217.976,5378556.0,35142773.975999996,15.304870365877122,84.69512963412289
289,2012_NY,2012,NY,106304663.84071401,29357862.623286,135662526.46400002,21.640362588320606,78.35963741167939
290,2012_OH,2012,OH,127592948.12900001,2148470.216,129741418.34500001,1.6559632563033393,98.34403674369666
291,2012_OK,2012,OK,68345008.8717,9412658.805,77757667.6767,12.10511977305679,87.89488022694322
292,2012_OR,2012,OR,14305639.370765,46306920.039235,60612559.410000004,76.39822586273296,23.60177413726704
293,2012_PA,2012,PA,217133004.884575,6283426.467425,223416431.352,2.8124280874960594,97.18757191250394
294,2012_RI,2012,RI,8202874.853,106161.0,8309035.853,1.277657262264313,98.72234273773569
295,2012_SC,2012,SC,94087970.723,2667711.622,96755682.345,2.7571627395358433,97.24283726046417
296,2012_SD,2012,SD,3138574.954,8879147.0,12017721.954,73.88377792385727,26.116222076142737
297,2012_TN,2012,TN,68755084.918,8630851.623,77385936.541,11.15299757137044,88.84700242862957
298,2012_TX,2012,TX,395315408.4018,34381942.292,429697350.6938,8.001432225841297,91.9985677741587
299,2012_UT,2012,UT,37552750.48001,1847670.27799,39400420.758,4.689468392580154,95.31053160741985
300,2012_VA,2012,VA,68688345.64169,2050889.10531,70739234.747,2.899224330945956,97.10077566905404
301,2012_VT,2012,VT,4995296.522,1572824.48,6568121.002,23.946338374720458,76.05366162527953
